manejo,H Copa,H suelo,A Copa,A Suelo,log A Suelo
I,1.252,2.252,6,6,0.77815125
I,0.811,1.700,4,13,1.113943352
I,0.773,0.786,13,29,1.462397998
I,1.658,2.713,9,34,1.531478917
I,0.811,1.585,4,12,1.079181246
I,1.585,2.223,3,25,1.397940009
I,1.530,1.686,9,12,1.079181246
I,1.664,1.859,7,11,1.041392685
I,0.544,1.571,8,10,1
I,1.192,3.018,19,59,1.770852012
I,0.912,1.792,3,6,0.77815125
I,1.459,2.722,6,10,1
I,0.000,1.585,2,3,0.477121255
I,1.211,1.122,6,18,1.255272505
I,0.000,2.565,0,13,1.113943352
I,1.617,3.140,11,45,1.653212514
I,2.725,1.896,9,12,1.079181246
I,1.793,0.971,6,5,0.698970004
E,0.722,1.379,5,7,0.84509804
E,0.000,0.391,0,13,1.113943352
E,2.322,1.000,5,2,0.301029996
E,0.918,1.431,3,19,1.278753601
E,0.000,1.000,1,2,0.301029996
E,2.252,1.584,6,71,1.851258349
E,1.000,1.249,2,21,1.322219295
E,1.922,0.868,5,16,1.204119983
E,1.000,1.922,4,5,0.698970004
E,1.252,1.522,6,5,0.698970004
E,0.000,1.192,1,19,1.278753601
E,0.918,1.522,3,5,0.698970004
E,1.000,1.611,2,19,1.278753601
E,2.585,1.700,6,21,1.322219295
E,1.000,0.918,2,3,0.477121255
E,1.000,1.984,2,27,1.431363764
E,1.585,1.446,3,9,0.954242509
E,1.371,0.000,5,1,0
